codigo_departamento,nombre_departamento,codigo_municipio,nombre_municipio,codigo_centro_poblado,nombre_centro_poblado,tipo
85,CASANARE,85001,YOPAL,85001000,YOPAL,CM
85,CASANARE,85001,YOPAL,85001001,EL MORRO,CP
85,CASANARE,85001,YOPAL,85001002,LA CHAPARRERA,CP
85,CASANARE,85001,YOPAL,85001003,TILODIRÁN,CP
85,CASANARE,85001,YOPAL,85001005,EL CHARTE,CP
85,CASANARE,85001,YOPAL,85001006,SANTAFÉ DE MORICHAL,CP
85,CASANARE,85001,YOPAL,85001007,QUEBRADA SECA,CP
85,CASANARE,85001,YOPAL,85001010,LA GUAFILLA,CP
85,CASANARE,85001,YOPAL,85001011,LA LLANERITA,CP
85,CASANARE,85001,YOPAL,85001012,LA NIATA,CP
85,CASANARE,85001,YOPAL,85001013,PUNTO NUEVO,CP
85,CASANARE,85010,AGUAZUL,85010000,AGUAZUL,CM
85,CASANARE,85010,AGUAZUL,85010001,CUPIAGUA,CP
85,CASANARE,85010,AGUAZUL,85010002,MONTERRALO,CP
85,CASANARE,85010,AGUAZUL,85010003,SAN BENITO,CP
85,CASANARE,85010,AGUAZUL,85010005,SAN JOSÉ,CP
85,CASANARE,85010,AGUAZUL,85010006,UNETE,CP
85,CASANARE,85010,AGUAZUL,85010010,PUENTE CUSIANA,CP
85,CASANARE,85010,AGUAZUL,85010014,LLANO LINDO,CP
85,CASANARE,85010,AGUAZUL,85010015,PLAN BRISAS,CP
85,CASANARE,85015,CHÁMEZA,85015000,CHÁMEZA,CM
85,CASANARE,85125,HATO COROZAL,85125000,HATO COROZAL,CM
85,CASANARE,85125,HATO COROZAL,85125002,CHIRE,CP
85,CASANARE,85125,HATO COROZAL,85125003,LA FRONTERA - LA CHAPA,CP
85,CASANARE,85125,HATO COROZAL,85125005,PUERTO COLOMBIA,CP
85,CASANARE,85125,HATO COROZAL,85125010,SANTA RITA,CP
85,CASANARE,85125,HATO COROZAL,85125011,SAN JOSÉ DE ARIPORO,CP
85,CASANARE,85125,HATO COROZAL,85125016,ROSA BLANCA,CP
85,CASANARE,85125,HATO COROZAL,85125017,PUEBLO NUEVO,CP
85,CASANARE,85136,LA SALINA,85136000,LA SALINA,CM
85,CASANARE,85139,MANÍ,85139000,MANÍ,CM
85,CASANARE,85139,MANÍ,85139001,GUAFALPINTADO,CP
85,CASANARE,85139,MANÍ,85139003,GAVIOTAS,CP
85,CASANARE,85139,MANÍ,85139005,SANTA HELENA DE CÚSIVA,CP
85,CASANARE,85139,MANÍ,85139007,CHAVINAVE,CP
85,CASANARE,85162,MONTERREY,85162000,MONTERREY,CM
85,CASANARE,85162,MONTERREY,85162001,PALONEGRO,CP
85,CASANARE,85162,MONTERREY,85162002,BRISAS DE LLANO,CP
85,CASANARE,85162,MONTERREY,85162004,EL PORVENIR,CP
85,CASANARE,85162,MONTERREY,85162006,VILLA CAROLA,CP
85,CASANARE,85162,MONTERREY,85162007,LA HORQUETA,CP
85,CASANARE,85162,MONTERREY,85162008,LA ESTRELLA,CP
85,CASANARE,85225,NUNCHÍA,85225000,NUNCHÍA,CM
85,CASANARE,85225,NUNCHÍA,85225016,LA YOPALOSA,CP
85,CASANARE,85230,OROCUÉ,85230000,OROCUÉ,CM
85,CASANARE,85230,OROCUÉ,85230003,EL ALGARROBO,CP
85,CASANARE,85230,OROCUÉ,85230011,CARRIZALES,CP
85,CASANARE,85230,OROCUÉ,85230012,DUYA (RESGUARDO),CP
85,CASANARE,85250,PAZ DE ARIPORO,85250000,PAZ DE ARIPORO,CM
